File;item;gender;language;condition
antwerp1a_run1;gym;f;dutch;ns
antwerp1a_run2;lake;f;dutch;ns
antwerp1b_run1;forest;f;dutch;ns
antwerp1b_run2;playground;f;dutch;ns
antwerp2a_run1;gym;f;dutch;ns
antwerp2a_run2;lake;f;dutch;ns
antwerp2b_run1;forest;m;dutch;ns
antwerp2b_run2;playground;m;dutch;ns
antwerp3a_run1;gym;m;dutch;ns
antwerp3a_run2;lake;m;dutch;ns
antwerp3b_run1;forest;f;dutch;ns
antwerp3b_run2;playground;f;dutch;ns
antwerp4a_run1;gym;m;dutch;ns
antwerp4a_run2;lake;m;dutch;ns
antwerp4b_run1;forest;m;dutch;ns
antwerp4b_run2;playground;m;dutch;ns
antwerp5a_run1;gym;f;dutch;ns
antwerp5a_run2;lake;f;dutch;ns
antwerp5b_run1;forest;f;dutch;ns
antwerp5b_run2;playground;f;dutch;ns
antwerp6a_run1;gym;m;dutch;ns
antwerp6a_run2;lake;m;dutch;ns
antwerp6b_run1;forest;m;dutch;ns
antwerp6b_run2;playground;m;dutch;ns
leuven11a_run1;gym;f;dutch;nns
leuven11a_run2;lake;f;dutch;nns
leuven11b_run1;forest;m;french;nns
leuven11b_run2;playground;m;french;nns
leuven12a_run1;lake;f;dutch;nns
leuven12a_run2;gym;f;dutch;nns
leuven12b_run1;forest;m;french;nns
leuven12b_run2;playground;m;french;nns
leuven1a_run1;lake;f;dutch;nns
leuven1a_run2;gym;f;dutch;nns
leuven1b_run1;forest;f;french;nns
leuven1b_run2;playground;f;french;nns
leuven2a_run1;gym;f;french;nns
leuven2a_run2;lake;f;french;nns
leuven2b_run1;forest;m;dutch;nns
leuven2b_run2;playground;m;dutch;nns
leuven3a_run1;gym;f;dutch;nns
leuven3a_run2;lake;f;dutch;nns
leuven3b_run1;forest;f;french;nns
leuven3b_run2;playground;f;french;nns
leuven4a_run1;gym;m;french;nns
leuven4a_run2;lake;m;french;nns
leuven4b_run1;forest;f;dutch;nns
leuven4b_run2;playground;f;dutch;nns
leuven5a_run1;gym;f;dutch;nns
leuven5a_run2;lake;f;dutch;nns
leuven5b_run1;forest;m;french;nns
leuven5b_run2;playground;m;french;nns
leuven6a_run1;gym;f;french;nns
leuven6a_run2;gym;f;french;nns
leuven6b_run1;forest;m;dutch;nns
leuven6b_run2;playground;m;dutch;nns
leuven7a_run1;gym;f;dutch;nns
leuven7a_run2;lake;f;dutch;nns
leuven7b_run1;forest;f;french;nns
leuven7b_run2;playground;f;french;nns
leuven8a_run1;gym;m;dutch;nns
leuven8a_run2;lake;m;dutch;nns
leuven8b_run1;forest;f;french;nns
leuven8b_run2;playground;f;french;nns
leuven9a_run1;gym;f;dutch;nns
leuven9a_run2;lake;f;dutch;nns
leuven9b_run1;forest;f;french;nns
leuven9b_run2;playground;f;french;nns
luik1a_run1;forest;f;french;ns
luik1a_run2;playground;f;french;ns
luik1b_run1;gym;f;french;ns
luik1b_run2;lake;f;french;ns
luik2a_run1;forest;m;french;ns
luik2a_run2;playground;m;french;ns
luik2b_run1;gym;f;french;ns
luik2b_run2;lake;f;french;ns
luik3a_run1;forest;f;french;ns
luik3a_run2;lake;f;french;ns
luik3b_run1;playground;f;french;ns
luik3b_run2;gym;f;french;ns
luik4a_run1;forest;f;french;ns
luik4a_run2;playground;f;french;ns
luik4b_run1;gym;m;french;ns
luik4b_run2;lake;m;french;ns
luik5a_run1;forest;m;french;ns
luik5a_run2;playground;m;french;ns
luik5b_run1;gym;f;french;ns
luik5b_run2;lake;f;french;ns
